Kecamatan;Jumlah (Unit);Kapasitas;Tahun
Susukan;8;11.3;2018
Purwareja Klampok;9;37.7;2018
Mandiraja;3;4.5;2018
Purwanegara;9;7.75;2018
B a w a n g;3;11.5;2018
Banjarnegara;1;3;2018
Pagedongan;2;0;2018
S i g a l u h;0;0;2018
Madukara;3;0;2018
Banjarmangu;2;4.7;2018
Wanadadi;6;0;2018
R a k i t;3;3.7;2018
Punggelan;2;0;2018
Karangkobar;0;0;2018
Pagentan;3;2.5;2018
Pejawaran;4;0;2018
B a t u r;0;0;2018
Wanayasa;1;0;2018
Kalibening;4;9.176;2018
Pandanarum;0;0;2018
Susukan;8;11.3;2019
Purwareja Klampok;9;37.7;2019
Mandiraja;3;4.5;2019
Purwanegara;9;7.75;2019
B a w a n g;3;11.5;2019
Banjarnegara;1;3;2019
Pagedongan;2;0;2019
S i g a l u h;0;0;2019
Madukara;3;0;2019
Banjarmangu;2;4.7;2019
Wanadadi;6;0;2019
R a k i t;3;3.7;2019
Punggelan;2;0;2019
Karangkobar;0;0;2019
Pagentan;3;2.5;2019
Pejawaran;4;0;2019
B a t u r;0;0;2019
Wanayasa;1;0;2019
Kalibening;4;9.176;2019
Pandanarum;0;0;2019
Susukan;8;11;2020
Purwareja Klampok;9;38;2020
Mandiraja;3;5;2020
Purwanegara;9;8;2020
B a w a n g;3;12;2020
Banjarnegara;1;3;2020
Pagedongan;2;0;2020
S i g a l u h;0;0;2020
Madukara;3;0;2020
Banjarmangu;2;5;2020
Wanadadi;6;0;2020
R a k i t;3;4;2020
Punggelan;2;0;2020
Karangkobar;0;0;2020
Pagentan;3;3;2020
Pejawaran;4;0;2020
B a t u r;0;0;2020
Wanayasa;1;0;2020
Kalibening;4;9;2020
Pandanarum;0;0;2020
Susukan;8;11;2021
Purwareja Klampok;9;38;2021
Mandiraja;3;5;2021
Purwanegara;9;8;2021
B a w a n g;3;12;2021
Banjarnegara;1;3;2021
Pagedongan;2;0;2021
S i g a l u h;0;0;2021
Madukara;3;0;2021
Banjarmangu;2;5;2021
Wanadadi;6;0;2021
R a k i t;3;4;2021
Punggelan;2;0;2021
Karangkobar;0;0;2021
Pagentan;3;3;2021
Pejawaran;4;0;2021
B a t u r;0;0;2021
Wanayasa;1;0;2021
Kalibening;4;9;2021
Pandanarum;0;0;2021
Susukan;8;11.3;2022
Purwareja Klampok;9;37.7;2022
Mandiraja;3;4.5;2022
Purwanegara;9;7.75;2022
B a w a n g;3;11.5;2022
Banjarnegara;1;3;2022
Pagedongan;2;0;2022
S i g a l u h;0;0;2022
Madukara;3;0;2022
Banjarmangu;2;4.7;2022
Wanadadi;6;0;2022
R a k i t;3;3.7;2022
Punggelan;2;0;2022
Karangkobar;0;0;2022
Pagentan;3;2.5;2022
Pejawaran;4;0;2022
B a t u r;0;0;2022
Wanayasa;1;0;2022
Kalibening;4;9.176;2022
Pandanarum;0;0;2022
Susukan;8;11.3;2023
Purwareja Klampok;9;37.7;2023
Mandiraja;3;4.5;2023
Purwanegara;9;7.75;2023
B a w a n g;3;11.5;2023
Banjarnegara;1;3;2023
Pagedongan;2;0;2023
S i g a l u h;0;0;2023
Madukara;3;0;2023
Banjarmangu;2;4.7;2023
Wanadadi;6;0;2023
R a k i t;3;3.7;2023
Punggelan;2;0;2023
Karangkobar;0;0;2023
Pagentan;3;2.5;2023
Pejawaran;4;0;2023
B a t u r;0;0;2023
Wanayasa;1;0;2023
Kalibening;4;9.176;2023
Pandanarum;0;0;2023
Susukan;8;11.3;2024
Purwareja Klampok;9;37.7;2024
Mandiraja;3;4.5;2024
Purwanegara;9;7.75;2024
B a w a n g;3;11.5;2024
Banjarnegara;1;3;2024
Pagedongan;2;0;2024
S i g a l u h;0;0;2024
Madukara;3;0;2024
Banjarmangu;2;4.7;2024
Wanadadi;6;0;2024
R a k i t;3;3.7;2024
Punggelan;2;0;2024
Karangkobar;0;0;2024
Pagentan;3;2.5;2024
Pejawaran;4;0;2024
B a t u r;0;0;2024
Wanayasa;1;0;2024
Kalibening;4;9.176;2024
Pandanarum;0;0;2024
