Kecamatan,Luas Panen Kacang Tanah (Ha),Produksi Kacang Tanah (Ton),Rata-rata Produksi Kacang Tanah (Ku/Ha),Luas Panen Kedelai (Ha),Produksi Kedelai  (Ton),Rata-rata Produksi Kedelai  (Ku/Ha),Tahun 
Susukan, 19 , 20 , 10 , 547 , 764 , 14 ,2018
Purwareja Klampok, 6 , 6 , 9 , 1 , 1 , 12 ,2018
Mandiraja, 17 , - , - , 491 , 627 , 13 ,2018
Purwanegara," 1,056 "," 1,008 ", 10 , 170 , 208 , 12 ,2018
B a w a n g, 82 , 97 , 12 , 159 , 180 , 11 ,2018
Banjarnegara, 41 , 46 , 11 , - , - , - ,2018
Pagedongan, - , - , - , 60 , 46 , 8 ,2018
S i g a l u h, - , - , - , - , - , - ,2018
Madukara, 48 , 67 , 14 , - , - , - ,2018
Banjarmangu, - , - , - , - , - , - ,2018
Wanadadi, 5 , 5 , 11 , 17 , 13 , 8 ,2018
R a k i t, 19 , 19 , 10 , 194 , 256 , 13 ,2018
Punggelan, 2 , 2 , 8 , - , - , - ,2018
Karangkobar, 15 , 14 , 9 , - , - , - ,2018
Pagentan, - , - , - , - , - , - ,2018
Pejawaran, 4 , 4 , 10 , - , - , - ,2018
B a t u r, - , - , - , - , - , - ,2018
Wanayasa, - , - , - , - , - , - ,2018
Kalibening, - , - , - , 626 , 863 , 14 ,2018
Pandanarum, - , - , - , - , - , - ,2018
Susukan, 10 , - , - , 77 , 107 , 14 ,2019
Purwareja Klampok, 14 , 15 , 10 , 4 , 4 , 11 ,2019
Mandiraja, 10 , 12 , 12 , - , - , - ,2019
Purwanegara, 311 , 349 , 11 , 96 , 118 , 12 ,2019
B a w a n g, 5 , 6 , 12 , 122 , 138 , 11 ,2019
Banjarnegara, 73 , 83 , 11 , - , - , - ,2019
Pagedongan, 5 , 5 , 10 , 98 , 75 , 8 ,2019
S i g a l u h, 4 , 4 , 11 , - , - , - ,2019
Madukara, 19 , 27 , 14 , - , - , - ,2019
Banjarmangu, - , - , - , - , - , - ,2019
Wanadadi, 4 , 4 , 11 , - , - , - ,2019
R a k i t, 53 , 53 , 10 , 14 , 14 , 11 ,2019
Punggelan, 2 , 2 , 8 , - , - , - ,2019
Karangkobar, 7 , 7 , 9 , - , - , - ,2019
Pagentan, - , - , - , - , - , - ,2019
Pejawaran, 17 , 17 , 10 , - , - , - ,2019
B a t u r, - , - , - , - , - , - ,2019
Wanayasa, - , - , - , - , - , - ,2019
Kalibening, - , - , - , 179 , 205 , 11 ,2019
Pandanarum, - , - , - , - , - , - ,2019
Susukan, - , - , - , 205 , 328 , 16 ,2020
Purwareja Klampok, 9 , 35 , 39 , 159 , 223 , 14 ,2020
Mandiraja, 38 , 141 , 37 , 130 , 182 , 14 ,2020
Purwanegara," 2,222 "," 8,444 ", 38 , 38 , 53 , 14 ,2020
B a w a n g, 83 , 324 , 39 , 21 , 29 , 14 ,2020
Banjarnegara, 32 , 118 , 37 , - , - , - ,2020
Pagedongan, 4 , 16 , 40 , - , - , - ,2020
S i g a l u h, 2 , 7 , 35 , - , - , - ,2020
Madukara, 54 , 211 , 39 , - , - , - ,2020
Banjarmangu, - , - , - , - , - , - ,2020
Wanadadi, 1 , 4 , 40 , 3 , 4 , 13 ,2020
R a k i t, 132 , 544 , 41 , - , - , - ,2020
Punggelan, - , - , - , 1 , 1 , 13 ,2020
Karangkobar, 7 , 27 , 39 , - , - , - ,2020
Pagentan, - , - , - , - , - , - ,2020
Pejawaran, 5 , 19 , 38 , - , - , - ,2020
B a t u r, - , - , - , - , - , - ,2020
Wanayasa, - , - , - , 15 , 18 , 12 ,2020
Kalibening, - , - , - , - , - , - ,2020
Pandanarum, - , - , - , - , - , - ,2020
Susukan, 10 , 15 , 15 , 420 , 588 , 14 ,2021
Purwareja Klampok, 36 , 90 , 25 , 13 , 16 , 12 ,2021
Mandiraja, 31 , 62 , 20 , - , - , - ,2021
Purwanegara, 206 , 371 , 18 , 15 , 18 , 12 ,2021
B a w a n g, 47 , 89 , 19 , 7 , 8 , 12 ,2021
Banjarnegara, 87 , 139 , 16 , - , - , - ,2021
Pagedongan, 15 , 21 , 14 , - , - , - ,2021
S i g a l u h, - , - , - , - , - , - ,2021
Madukara, 34 , 255 , 75 , - , - , - ,2021
Banjarmangu, - , - , - , - , - , - ,2021
Wanadadi, - , - , - , 4 , 5 , 14 ,2021
R a k i t, 173 , 260 , 15 , - , - , - ,2021
Punggelan, - , - , - , - , - , - ,2021
Karangkobar, 15 , 63 , 42 , - , - , - ,2021
Pagentan, - , - , - , - , - , - ,2021
Pejawaran, 14 , 39 , 28 , - , - , - ,2021
B a t u r, - , - , - , - , - , - ,2021
Wanayasa, - , - , - , - , - , - ,2021
Kalibening, - , - , - , - , - , - ,2021
Pandanarum, - , - , - , - , - , - ,2021
Susukan, 11 , 29 , 26 , 275 , 337 , 12 ,2022
Purwareja Klampok, 19 , 48 , 25 , 10 , 15 , 15 ,2022
Mandiraja, 2 , 6 , 32 , - , - , - ,2022
Purwanegara, 140 , 346 , 25 , - , - , - ,2022
B a w a n g, 74 , 170 , 23 , 3 , 4 , 13 ,2022
Banjarnegara, 32 , 78 , 24 , - , - , - ,2022
Pagedongan, 3 , 5 , 16 , - , - , - ,2022
S i g a l u h, - , - , - , - , - , - ,2022
Madukara, 58 , 215 , 37 , - , - , - ,2022
Banjarmangu, - , - , - , - , - , - ,2022
Wanadadi, - , - , - , - , - , - ,2022
R a k i t, 69 , 168 , 24 , - , - , - ,2022
Punggelan, - , - , - , - , - , - ,2022
Karangkobar, 10 , 27 , 27 , - , - , - ,2022
Pagentan, - , - , - , - , - , - ,2022
Pejawaran, 8 , 22 , 28 , - , - , - ,2022
B a t u r, - , - , - , - , - , - ,2022
Wanayasa, - , - , - , - , - , - ,2022
Kalibening, - , - , - , - , - , - ,2022
Pandanarum, - , - , - , - , - , - ,2022
Susukan, 2 , 5 , 25 , 100 , 120 , 12 ,2023
Purwareja Klampok, 16 , 40 , 25 , 8 , 9 , 11 ,2023
Mandiraja, 1 , 3 , 29 , - , - , - ,2023
Purwanegara, 97 , 236 , 24 , 160 , 161 , 10 ,2023
B a w a n g, 113 , 252 , 22 , 13 , 19 , 14 ,2023
Banjarnegara, 27 , 63 , 23 , - , - , - ,2023
Pagedongan, 3 , 5 , 15 , - , - , - ,2023
S i g a l u h, - , - , - , - , - , - ,2023
Madukara, 26 , 104 , 40 , - , - , - ,2023
Banjarmangu, - , - , - , - , - , - ,2023
Wanadadi, - , - , - , - , - , - ,2023
R a k i t, 20 , 52 , 26 , - , - , - ,2023
Punggelan, - , - , - , - , - , - ,2023
Karangkobar, 4 , 10 , 26 , - , - , - ,2023
Pagentan, - , - , - , - , - , - ,2023
Pejawaran, 11 , 30 , 27 , - , - , - ,2023
B a t u r, - , - , - , - , - , - ,2023
Wanayasa, - , - , - , - , - , - ,2023
Kalibening, 2 , 4 , 21 , - , - , - ,2023
Pandanarum, - , - , - , - , - , - ,2023
Susukan, - , - , - , 9 , 11 , 13 ,2024
Purwareja Klampok, 32 , 84 , 26 , 1 , 1 , 11 ,2024
Mandiraja, 11 , 34 , 31 , - , - , - ,2024
Purwanegara, 250 , 640 , 26 , - , - , - ,2024
B a w a n g, 70 , 173 , 25 , 3 , 4 , 13 ,2024
Banjarnegara, 20 , 48 , 25 , - , - , - ,2024
Pagedongan, 7 , 12 , 17 , - , - , - ,2024
S i g a l u h, 13 , 31 , 24 , - , - , - ,2024
Madukara, 41 , 152 , 37 , - , - , - ,2024
Banjarmangu, - , - , - , - , - , - ,2024
Wanadadi, - , - , - , 2 , 3 , 13 ,2024
R a k i t, 158 , 413 , 26 , - , - , - ,2024
Punggelan, - , - , - , - , - , - ,2024
Karangkobar, - , - , - , - , - , - ,2024
Pagentan, - , - , - , - , - , - ,2024
Pejawaran, 6 , 16 , 27 , - , - , - ,2024
B a t u r, - , - , - , - , - , - ,2024
Wanayasa, - , - , - , - , - , - ,2024
Kalibening, - , - , - , - , - , - ,2024
Pandanarum, - , - , - , - , - , - ,2024
