Kecamatan,Kelapa Sawit,Kelapa Dalam,Karet,Kopi Robusta,Kakao,Tebu,Teh,Tembakau,Kopi Arabica,Tahun 
Susukan, - ,"2,331", - ,31, - ,5, - , - , - ,2018
Purwareja Klampok, - ,238, - ,4, - , - , - , - , - ,2018
Mandiraja, - ,"1,113",30,46, - , - , - , - , - ,2018
Purwanegara, - ,"1,104",20,36, - , - , - , - , - ,2018
Bawang, - ,839,17,50,133,4, - , - , - ,2018
Banjarnegara, - ,427, - ,122,4, - , - , - , - ,2018
Pagedongan, - ,"1,068",396,54,8,0, - , - , - ,2018
Sigaluh, - ,782, - ,57,1, - , - , - , - ,2018
Madukara, - ,780, - ,51, - ,1, - , - , - ,2018
Banjarmangu, - ,560, - ,96,1, - , - , - , - ,2018
Wanadadi, - ,721, - ,116,4, - , - , - , - ,2018
Rakit, - ,778,2,17,5,5, - , - , - ,2018
Punggelan, - ,"1,216", - ,133,2,17, - , - , - ,2018
Karangkobar, - ,28, - ,246, - , - ,132, - , - ,2018
Pagentan, - ,47, - ,43, - , - ,11,95, - ,2018
Pejawaran, - , - , - ,149, - , - ,16,123, - ,2018
Batur, - , - , - ,13, - , - ,14,15, - ,2018
Wanayasa, - ,7, - ,175, - , - ,573,13, - ,2018
Kalibening, - ,34, - ,294, - , - ,486,19, - ,2018
Pandanarum, - , - , - ,92, - , - ,160, - , - ,2018
Susukan, - ,"2,336", - ,31, - ,2, - , - ,,2019
Purwareja Klampok, - ,249, - ,4, - , - , - , - ,,2019
Mandiraja, - ,"1,113",30,46, - , - , - , - ,,2019
Purwanegara, - ,"1,105",19,36,5, - , - , - ,,2019
Bawang, - ,839,17,64,133,3, - , - ,,2019
Banjarnegara, - ,427, - ,135,10, - , - , - ,,2019
Pagedongan, - ,"1,069",394,61,4, - , - , - ,,2019
Sigaluh, - ,782, - ,59,7, - , - , - ,,2019
Madukara, - ,775, - ,51, - , - , - , - ,,2019
Banjarmangu, - ,560, - ,96,14, - , - , - ,,2019
Wanadadi, - ,721, - ,116,15, - , - , - ,,2019
Rakit, - ,778,2,17,7,5, - , - ,,2019
Punggelan, - ,"1,216", - ,133,15,5, - , - ,,2019
Karangkobar, - ,28, - ,246, - , - ,148, - ,,2019
Pagentan, - ,47, - ,43, - , - ,34,80,,2019
Pejawaran, - , - , - ,156, - , - ,17,173,,2019
Batur, - , - , - ,5, - , - ,14,17,,2019
Wanayasa, - ,7, - ,175, - , - ,669,10,,2019
Kalibening, - ,34, - ,294, - , - ,594,23,,2019
Pandanarum, - , - , - ,92, - , - ,237, - ,,2019
Susukan, - ,"2,336", - ,31, - , - , - , - ,,2020
Purwareja Klampok, - ,255, - ,4, - , - , - , - ,,2020
Mandiraja, - ,"1,117",24,48, - , - , - , - ,,2020
Purwanegara, - ,"1,105",14,36,5, - , - , - ,,2020
Bawang, - ,839,17,70,128, - , - , - ,,2020
Banjarnegara, - ,427, - ,141,10, - , - , - ,,2020
Pagedongan, - ,"1,116",394,68,4, - , - , - ,,2020
Sigaluh, - ,782, - ,72,7, - , - , - ,,2020
Madukara, - ,775, - ,51, - , - , - , - ,,2020
Banjarmangu, - ,560, - ,96,14, - , - , - ,,2020
Wanadadi, - ,723, - ,119,17, - , - , - ,,2020
Rakit, - ,778, - ,17,7,1, - , - ,,2020
Punggelan, - ,"1,216", - ,133,15, - , - , - ,,2020
Karangkobar, - ,28, - ,261, - , - ,148,2,,2020
Pagentan, - ,47, - ,50, - , - ,34,96,,2020
Pejawaran, - , - , - ,156, - , - ,17,347,,2020
Batur, - , - , - , - , - , - ,14,21,,2020
Wanayasa, - ,7, - ,177, - , - ,669,8,,2020
Kalibening, - ,34, - ,294, - , - ,594,19,,2020
Pandanarum, - , - , - ,92, - , - ,237, - ,,2020
Susukan, - ,"2,336", - ,31, - , - , - , - , - ,2021
Purwareja Klampok, - ,255, - ,4, - , - , - , - , - ,2021
Mandiraja, - ,"1,117",24,48, - , - , - , - , - ,2021
Purwanegara, - ,"1,105",14,36,5, - , - , - , - ,2021
Bawang, - ,839,17,70,128, - , - , - , - ,2021
Banjarnegara, - ,427, - ,141,10, - , - , - , - ,2021
Pagedongan, - ,"1,116",394,68,4, - , - , - , - ,2021
Sigaluh, - ,782, - ,72,7, - , - , - , - ,2021
Madukara, - ,775, - ,51, - , - , - , - , - ,2021
Banjarmangu, - ,560, - ,96,14, - , - , - , - ,2021
Wanadadi, - ,723, - ,119,17, - , - , - , - ,2021
Rakit, - ,723, - ,17,7,1, - , - , - ,2021
Punggelan, - ,"1,216", - ,133,15, - , - , - , - ,2021
Karangkobar, - ,28, - ,261, - , - ,148,2,44,2021
Pagentan, - ,47, - ,50, - , - ,34,102,114,2021
Pejawaran, - , - , - ,156, - , - ,17,345,318,2021
Batur, - , - , - , - , - , - ,14,19,22,2021
Wanayasa, - ,7, - ,177, - , - ,669,6,82,2021
Kalibening, - ,34, - ,294, - , - ,594,18,789,2021
Pandanarum, - , - , - ,92, - , - ,237, - ,38,2021
Susukan, - ," 2,336 ", - , 31 , - , - , - , - , - ,2022
Purwareja Klampok, - , 255 , - , 4 , - , - , - , - , - ,2022
Mandiraja, - ," 1,117 ", 24 , 48 , - , - , - , - , - ,2022
Purwanegara, - ," 1,105 ", 14 , 36 , 5 , - , - , - , - ,2022
Bawang, - , 839 , 17 , 70 , 133 , - , - , - , - ,2022
Banjarnegara, - , 427 , - , 141 , 10 , - , - , - , - ,2022
Pagedongan, - ," 1,116 ", 394 , 68 , 4 , - , - , - , - ,2022
Sigaluh, - , 782 , - , 72 , 7 , - , - , - , - ,2022
Madukara, - , 775 , - , 51 , - , - , - , - , - ,2022
Banjarmangu, - , 560 , - , 96 , 14 , - , - , - , - ,2022
Wanadadi, - , 723 , - , 119 , 17 , - , - , - , - ,2022
Rakit, - , 778 , 2 , 17 , 7 , - , - , - , - ,2022
Punggelan, - ," 1,216 ", - , 133 , 15 , - , - , - , - ,2022
Karangkobar, - , 28 , - , 261 , - , - , 148 , 2 , 44 ,2022
Pagentan, - , 47 , - , 50 , - , - , 34 , 42 , 114 ,2022
Pejawaran, - , - , - , 156 , - , - , 17 , 355 , 318 ,2022
Batur, - , - , - , - , - , - , 14 , 21 , 22 ,2022
Wanayasa, - , 7 , - , 177 , - , - , 669 , 7 , 82 ,2022
Kalibening, - , 34 , - , 294 , - , - , 594 , 19 , 789 ,2022
Pandanarum, - , - , - , 92 , - , - , 237 , - , 38 ,2022
Susukan, - ," 2,343 ", - , 33 , - , - , - , - , - ,2023
Purwareja Klampok, - , 255 , - , 4 , - , - , - , - , - ,2023
Mandiraja, - ," 1,117 ", 24 , 48 , - , - , - , - , - ,2023
Purwanegara, - ," 1,080 ", 14 , 36 , 5 , - , - , - , - ,2023
Bawang, - , 804 , 17 , 70 , 130 , - , - , - , - ,2023
Banjarnegara, - , 427 , - , 151 , 10 , - , - , - , - ,2023
Pagedongan, - ," 1,118 ", 392 , 78 , 2 , - , - , - , - ,2023
Sigaluh, - , 782 , - , 72 , 7 , - , - , - , - ,2023
Madukara, - , 775 , - , 51 , - , - , - , - , - ,2023
Banjarmangu, - , 560 , - , 96 , 14 , - , - , - , - ,2023
Wanadadi, - , 723 , - , 119 , 17 , - , - , - , - ,2023
Rakit, - , 778 , 2 , 17 , 6 , - , - , - , - ,2023
Punggelan, - ," 1,216 ", - , 133 , 15 , - , - , - , - ,2023
Karangkobar, - , 10 , - , 261 , - , - , 148 , 5 , 54 ,2023
Pagentan, - , 47 , - , 50 , - , - , 34 , 127 , 237 ,2023
Pejawaran, - , - , - , 156 , - , - , 17 , 327 , 343 ,2023
Batur, - , - , - , - , - , - , 14 , 32 , 33 ,2023
Wanayasa, - , 7 , - , 177 , - , - , 669 , 7 , 91 ,2023
Kalibening, - , 34 , - , 294 , - , - , 594 , 23 , 837 ,2023
Pandanarum, - , - , - , 92 , - , - , 174 , - , 53 ,2023
Susukan, - ," 2,343 ", - , 33 , - , - , - , - , - ,2024
Purwareja Klampok, - , 235 , - , 4 , - , - , - , - , - ,2024
Mandiraja, - ," 1,117 ", 24 , 48 , - , - , - , - , - ,2024
Purwanegara, - ," 1,080 ", 14 , 36 , 5 , - , - , - , - ,2024
Bawang, - , 804 , 17 , 70 , 130 , - , - , - , - ,2024
Banjarnegara, - , 427 , - , 151 , 10 , - , - , - , - ,2024
Pagedongan, - ," 1,116 ", 387 , 78 , 2 , - , - , - , - ,2024
Sigaluh, - , 782 , - , 72 , 7 , - , - , - , - ,2024
Madukara, - , 775 , - , 51 , - , - , - , - , - ,2024
Banjarmangu, - , 560 , - , 96 , 14 , - , - , - , - ,2024
Wanadadi, - , 723 , - , 119 , 17 , - , - , - , - ,2024
Rakit, - , 778 , 2 , 17 , 6 , - , - , - , - ,2024
Punggelan, - ," 1,216 ", - , 133 , 15 , - , - , - , - ,2024
Karangkobar, - , 10 , - , 261 , - , - , 148 , 5 , 54 ,2024
Pagentan, - , 47 , - , 50 , - , - , 34 , 103 , 241 ,2024
Pejawaran, - , - , - , 156 , - , - , 17 , 338 , 343 ,2024
Batur, - , - , - , - , - , - , 14 , 23 , 33 ,2024
Wanayasa, - , 7 , - , 177 , - , - , 669 , 8 , 91 ,2024
Kalibening, - , 34 , - , 294 , - , - , 594 , 25 , 850 ,2024
Pandanarum, - , - , - , 92 , - , - , 169 , - , 53 ,2024
