Jenis Tanaman,Luas,Tahun
 Agloenema *), -  ,2018
Anthurium Daun *), 37.0 ,2018
Caladium *), -  ,2018
Pakis *), -  ,2018
Sansievera  ***) Pedang-Pedangan, -  ,2018
Soka *), -  ,2018
Krisan, -  ,2018
Mawar, -  ,2018
Melati, 136.0 ,2018
Palem *), 28.0 ,2018
Pisang-pisangan, -  ,2018
Sedap Malam, -  ,2018
 Agloenema *), -  ,2019
Anthurium Daun *), -  ,2019
Caladium *), -  ,2019
Pakis *), -  ,2019
Sansievera  ***) Pedang-Pedangan, -  ,2019
Soka *), -  ,2019
Krisan, -  ,2019
Mawar, -  ,2019
Melati, -  ,2019
Palem *), -  ,2019
Pisang-pisangan, -  ,2019
Sedap Malam, -  ,2019
 Agloenema *), -  ,2020
Anthurium Daun *), -  ,2020
Caladium *), -  ,2020
Pakis *), -  ,2020
Sansievera  ***) Pedang-Pedangan, -  ,2020
Soka *), -  ,2020
Krisan, -  ,2020
Mawar, -  ,2020
Melati, -  ,2020
Palem *), -  ,2020
Pisang-pisangan, -  ,2020
Sedap Malam, -  ,2020
 Agloenema *), 180.0 ,2021
Anthurium Daun *), 21.0 ,2021
Caladium *), -  ,2021
Pakis *), 1.0 ,2021
Sansievera  ***) Pedang-Pedangan, 47.0 ,2021
Soka *), 80.0 ,2021
Krisan, -  ,2021
Mawar, -  ,2021
Melati, 88.0 ,2021
Palem *), 84.0 ,2021
Pisang-pisangan, -  ,2021
Sedap Malam, -  ,2021
 Agloenema *), 98.0 ,2022
Anthurium Daun *), 84.0 ,2022
Caladium *)," 2,000.0 ",2022
Pakis *), 2.0 ,2022
Sansievera  ***) Pedang-Pedangan, 30.0 ,2022
Soka *), -  ,2022
Krisan, -  ,2022
Mawar, -  ,2022
Melati, 140.0 ,2022
Palem *), 61.0 ,2022
Pisang-pisangan, -  ,2022
Sedap Malam, -  ,2022
 Agloenema *), 69.0 ,2023
Anthurium Daun *), -  ,2023
Caladium *), -  ,2023
Pakis *), -  ,2023
Sansievera  ***) Pedang-Pedangan, 18.0 ,2023
Soka *), -  ,2023
Krisan, -  ,2023
Mawar, -  ,2023
Melati, -  ,2023
Palem *), 44.0 ,2023
Pisang-pisangan, -  ,2023
Sedap Malam, -  ,2023
 Agloenema *), 47.0 ,2024
Anthurium Daun *), -  ,2024
Caladium *), -  ,2024
Pakis *), 8.0 ,2024
Sansievera  ***) Pedang-Pedangan, 5.0 ,2024
Soka *), -  ,2024
Krisan, -  ,2024
Mawar, -  ,2024
Melati, -  ,2024
Palem *), 20.0 ,2024
Pisang-pisangan, -  ,2024
Sedap Malam, -  ,2024
