Jenis tanaman, Produksi (ton) ,Tahun 
Alpukat, 234 ,2018
Belimbing, 112 ,2018
Duku," 1,662 ",2018
Durian," 6,050 ",2018
Jambu Biji," 2,857 ",2018
Jambu Air, 237 ,2018
Jeruk Siam/Keprok (Tangerine), 256 ,2018
Jeruk Besa (Pomelo), 182 ,2018
Jeruk (Tangerine + Pomelo), - ,2018
Mangga," 1,051 ",2018
Manggis, 482 ,2018
Nangka," 5,116 ",2018
Nenas, 60 ,2018
Pepaya," 31,316 ",2018
Pisang," 18,010 ",2018
Rambutan," 4,814 ",2018
Salak," 400,217 ",2018
Sawo, 149 ,2018
Markisa, - ,2018
Sirsak, 164 ,2018
Sukun, 91 ,2018
Melinjo, 567 ,2018
Petai," 3,748 ",2018
Alpukat, 327 ,2019
Belimbing, 127 ,2019
Duku," 1,757 ",2019
Durian," 9,525 ",2019
Jambu Biji," 4,502 ",2019
Jambu Air, 509 ,2019
Jeruk Siam/Keprok (Tangerine), 262 ,2019
Jeruk Besa (Pomelo), 180 ,2019
Jeruk (Tangerine + Pomelo), - ,2019
Mangga," 3,078 ",2019
Manggis, 562 ,2019
Nangka," 4,453 ",2019
Nenas, 163 ,2019
Pepaya," 23,070 ",2019
Pisang," 20,367 ",2019
Rambutan," 6,941 ",2019
Salak," 350,011 ",2019
Sawo, 156 ,2019
Markisa, - ,2019
Sirsak, 213 ,2019
Sukun, 653 ,2019
Melinjo," 1,256 ",2019
Petai," 5,878 ",2019
Alpukat, 345 ,2020
Belimbing, 158 ,2020
Duku," 2,000 ",2020
Durian," 11,684 ",2020
Jambu Biji," 5,084 ",2020
Jambu Air, 931 ,2020
Jeruk Siam/Keprok (Tangerine), 292 ,2020
Jeruk Besa (Pomelo), 722 ,2020
Jeruk (Tangerine + Pomelo), - ,2020
Mangga," 3,089 ",2020
Manggis, 572 ,2020
Nangka," 4,636 ",2020
Nenas, 279 ,2020
Pepaya," 30,064 ",2020
Pisang," 24,884 ",2020
Rambutan," 7,107 ",2020
Salak," 376,344 ",2020
Sawo, 240 ,2020
Markisa, - ,2020
Sirsak, 246 ,2020
Sukun, 552 ,2020
Melinjo," 1,656 ",2020
Petai," 5,997 ",2020
Alpukat, 279 ,2021
Belimbing, 246 ,2021
Duku," 2,499 ",2021
Durian," 6,736 ",2021
Jambu Biji," 4,062 ",2021
Jambu Air, 800 ,2021
Jeruk Siam/Keprok (Tangerine), 242 ,2021
Jeruk Besa (Pomelo), - ,2021
Jeruk (Tangerine + Pomelo), - ,2021
Mangga," 2,486 ",2021
Manggis, 926 ,2021
Nangka," 10,047 ",2021
Nenas, 189 ,2021
Pepaya," 26,445 ",2021
Pisang," 25,614 ",2021
Rambutan," 4,488 ",2021
Salak," 360,213 ",2021
Sawo, 193 ,2021
Markisa, - ,2021
Sirsak, 237 ,2021
Sukun, 510 ,2021
Melinjo," 1,045 ",2021
Petai," 3,627 ",2021
Alpukat, 59 ,2022
Belimbing, 55 ,2022
Duku, 746 ,2022
Durian," 12,298 ",2022
Jambu Biji," 2,225 ",2022
Jambu Air, 191 ,2022
Jeruk Siam/Keprok (Tangerine), 76 ,2022
Jeruk Besa (Pomelo), 743 ,2022
Jeruk (Tangerine + Pomelo), - ,2022
Mangga," 2,808 ",2022
Manggis, 49 ,2022
Nangka," 7,744 ",2022
Nenas, 71 ,2022
Pepaya," 7,150 ",2022
Pisang," 30,647 ",2022
Rambutan," 1,291 ",2022
Salak," 230,335 ",2022
Sawo, 118 ,2022
Markisa, 755 ,2022
Sirsak, 143 ,2022
Sukun, 135 ,2022
Melinjo," 14,512 ",2022
Petai," 319,293 ",2022
Alpukat, 803 ,2023
Belimbing, 2 ,2023
Duku, 126 ,2023
Durian," 290,093 ",2023
Jambu Biji," 3,941 ",2023
Jambu Air, 735 ,2023
Jeruk Siam/Keprok (Tangerine), 2 ,2023
Jeruk Besa (Pomelo), 26 ,2023
Jeruk (Tangerine + Pomelo), - ,2023
Mangga," 1,575 ",2023
Manggis, 40 ,2023
Nangka, 539 ,2023
Nenas, 19 ,2023
Pepaya," 4,500 ",2023
Pisang," 36,130 ",2023
Rambutan, 800 ,2023
Salak," 1,816,886 ",2023
Sawo, 72 ,2023
Markisa, - ,2023
Sirsak, 34 ,2023
Sukun, 9 ,2023
Melinjo, 231 ,2023
Petai, 751 ,2023
Alpukat," 4,761 ",2024
Belimbing, 118 ,2024
Duku," 2,074 ",2024
Durian," 5,412 ",2024
Jambu Biji," 14,958 ",2024
Jambu Air, 435 ,2024
Jeruk Siam/Keprok (Tangerine), 25 ,2024
Jeruk Besa (Pomelo), 355 ,2024
Jeruk (Tangerine + Pomelo), - ,2024
Mangga, 576 ,2024
Manggis, 271 ,2024
Nangka," 2,273 ",2024
Nenas, 62 ,2024
Pepaya," 12,728 ",2024
Pisang," 92,201 ",2024
Rambutan," 4,635 ",2024
Salak," 199,677 ",2024
Sawo, 300 ,2024
Markisa, - ,2024
Sirsak, 364 ,2024
Sukun, 6 ,2024
Melinjo, 805 ,2024
Petai," 2,521 ",2024
